materials property GapC ETC VBdispC CBdispC GapS ETS IPS EAS PolarTensorS AtomNumC RhoC EpsilonC MolWtS
BEANTR 0.7351356999999998 2.0243 2.188501347 0.2651 0.2408 2.49585562 2.184921515 7.002177143 0.6725963009999999 576.036 60 0.741438725 2.938142534 228
BENZEN 2.1863511000000004 4.3761 4.50778927 0.30191 0.24725 5.11245322 4.366762316 9.260431022 -1.26165544 198.704 48 0.635486702 3.003321315 78
BIFUOR 0.9143367000000008 2.99476 3.1687575210000003 0.18199 0.29375 3.49494819 3.331410977 7.123707963999999 0.29545461300000003 833.552 176 0.7448478620000001 3.4387335589999997 330
BIPHEN 1.3001747999999995 3.20463 3.2256830880000003 0.2164 0.34705 3.54326264 3.1886158719999997 7.831063472 -0.085396099 393.38300000000004 44 0.714323203 2.8873704239999998 154
BNPERY 0.4167577000000002 2.09305 2.145211944 0.10898 0.09404 2.34946445 2.103400513 6.820110509 0.837910565 687.437 136 0.81162796 3.759170062 276
BNPYRE10 0.3459616000000003 1.733 1.871856474 0.15216 0.5433899999999999 2.2178684 1.930209965 6.77003363 0.8425138320000001 634.271 128 0.8147693140000001 3.2426026589999997 252
BOXGAW 0.012569500000000122 1.0251299999999999 1.065145348 0.28557 0.33576999999999996 1.39804775 1.203901057 5.984715875 1.680263201 1177.731 224 0.8959417140000001 4.31977875 474
BZPHAN 1.0086686000000005 2.57503 2.577259485 0.21214 0.16599 2.92327649 2.633343694 7.221897652999999 0.449512884 576.2330000000001 120 0.76058179 3.0268668639999996 228
CARREU 0.3891000000000005 1.0526200000000001 1.030695156 0.041139999999999996 0.0996 1.28782772 1.0559650040000002 5.785439856 1.719978904 1781.54 180 0.7552576759999999 2.9975110739999997 1414
CENYAV 0.7253145999999999 2.1196599999999997 2.168731464 0.07807 0.07821 2.32874063 2.127787624 6.320618037000001 1.013534514 1326.6370000000002 132 0.767087891 3.0465436969999997 528
